dataset,gurobi_reach,gurobi_nodes,gurobi_time,cplex_reach,cplex_nodes,cplex_time
Prism,10.0,1.0,0.1971116065979004,10.0,0,0.0989067554473877
Prism,10.0,1.0,0.16222310066223145,10.0,0,0.1258845329284668
Prism,10.0,1.0,0.1858811378479004,10.0,0,0.07764911651611328
Prism,10.0,1.0,0.17438077926635742,10.0,0,0.08261513710021973
Prism,10.0,1.0,0.1663825511932373,10.0,0,0.10736703872680664
Prism,10.0,1.0,0.16371464729309082,10.0,0,0.08260798454284668
Prism,10.0,1.0,0.16477203369140625,10.0,0,0.08349084854125977
L1 Prism,2.0,316.0,0.5378062725067139,2.0,557,0.45022058486938477
L1 Prism,2.0,316.0,0.5349338054656982,2.0,557,0.4406743049621582
L1 Prism,2.0,316.0,0.5225205421447754,2.0,557,0.44935083389282227
L1 Prism,2.0,316.0,0.5368955135345459,2.0,557,0.4232032299041748
L1 Prism,2.0,316.0,0.5313935279846191,2.0,557,0.4228541851043701
L1 Prism,2.0,316.0,0.5240790843963623,2.0,557,0.4469590187072754
L1 Prism,2.0,316.0,0.5286033153533936,2.0,557,0.439835786819458
L1 Prism,2.0,316.0,0.5371041297912598,2.0,557,0.44736266136169434
L1 Prism,2.0,316.0,0.5306050777435303,2.0,557,0.4284946918487549
L1 Prism,2.0,316.0,0.5213897228240967,2.0,557,0.6606888771057129
